State,University,Town
Illinois,University of Chicago,Chicago
Illinois,University of Illinois at Urbana-Champaign,Champaign 
Illinois,Northwestern University,Evanston 
Illinois,University of Illinois at Chicago,Chicago 
Illinois,Northern Illinois University,DeKalb
Illinois,DePaul University,Chicago
Illinois,Loyola University Chicago,Chicago
Illinois,Illinois Institute of Technology,Chicago
Illinois,Southern Illinois University Carbondale,Carbondale 
Illinois,Illinois State University,Normal
Illinois,Southern Illinois University Edwardsville,Edwardsville 
Illinois,Wheaton College,Wheaton
Illinois,Eastern Illinois University,Charleston
Illinois,Bradley University,Peoria
Illinois,Western Illinois University,Macomb 
Illinois,University of Illinois at Springfield,Springfield 
Illinois,DeVry University,Chicago 
Illinois,Columbia College Chicago,Chicago
Illinois,Illinois Wesleyan University,Bloomington
Illinois,Northeastern Illinois University,Chicago
Illinois,Elmhurst University,Elmhurst
Illinois,Roosevelt University,Chicago 
Illinois,School of the Art Institute of Chicago,Chicago
Illinois,National Louis University,Chicago 
Illinois,Benedictine University,Lisle
Illinois,Augustana College,Rock Island
Illinois,North Central College,Naperville 
Illinois,Knox College,Galesburg 
Illinois,Midwestern University,Downers Grove 
Illinois,Olivet Nazarene University,Bourbonnais
Illinois,North Park University,Chicago
Illinois,Lewis University,Romeoville
Illinois,Governors State University,University Park
Illinois,Chicago State University,Chicago
Illinois,Lake Forest College,Lake Forest
Illinois,Millikin University,Decatur
Illinois,Dominican University,River Forest
Illinois,Aurora University,Aurora 
Illinois,University of St. Francis,Joliet
Illinois,Saint Xavier University,Chicago
Illinois,Trinity International University,Deerfield 
Illinois,Chamberlain University,Addison 
Illinois,Moody Bible Institute,Chicago
Illinois,Quincy University,Quincy
Illinois,McKendree University,Lebanon
Illinois,Greenville University,Greenville
Illinois,Rosalind Franklin University of Medicine and Science,North Chicago
Illinois,Concordia University Chicago,River Forest
Illinois,National University of Health Sciences,Lombard 
Illinois,Adler University,Chicago 
Illinois,Trinity Christian College,Palos Heights
Illinois,Illinois College,Jacksonville
Illinois,Judson University,Elgin 
Illinois,Rockford University,Rockford 
Illinois,Lincoln College,Lincoln
Illinois,Blackburn College,Carlinville
Illinois,Principia College,Elsah
Illinois,Eureka College,Eureka 
Illinois,Monmouth College,Monmouth
Illinois,Lincoln Christian University,Lincoln
Illinois,MacMurray College,Jacksonville
Illinois,Rush University,Chicago
Illinois,Illinois College of Optometry,Chicago
Illinois,Blessing-Rieman College of Nursing and Health Sciences,Quincy
Illinois,VanderCook College of Music,Chicago
Illinois,East-West University,Chicago
Illinois,Oak Point University,Chicago
Illinois,Lake Forest Graduate School of Management,Lake Forest
Illinois,Saint Augustine College,Chicago
Illinois,Lakeview College of Nursing,Danville
Illinois,Methodist College,Peoria
Illinois,Trinity College of Nursing & Health Sciences,Rock Island
Illinois,Saint Francis Medical Center College of Nursing,Peoria
Illinois,Saint Anthony College of Nursing,Rockford
Colorado,University of Colorado Boulder,Boulder
Colorado,Colorado State University,Fort Collins
Colorado,University of Denver,Denver
Colorado,University of Colorado Denver,Denver
Colorado,Colorado School of Mines,Golden
Colorado,University of Colorado Colorado Springs,Colorado Springs
Colorado,Colorado College,Colorado Springs 
Colorado,University of Northern Colorado,Greeley
Colorado,United States Air Force Academy,Colorado Springs
Colorado,Metropolitan State University of Denver,Denver
Colorado,Regis University,Denver
Colorado,Colorado Christian University,Lakewood
Colorado,Fort Lewis College,Durango
Colorado,Colorado Technical University,Colorado Springs 
Colorado,Colorado Mesa University,Grand Junction
Colorado,Western Colorado University,Gunnison
Colorado,Adams State University,Alamosa
Colorado,Naropa University,Boulder
Colorado,Colorado State University-Pueblo,Pueblo 
Colorado,Rocky Mountain College of Art and Design,Lakewood
Colorado,Nazarene Bible College,Colorado Springs
Colorado,Rocky Vista University,Parker
Colorado,Denver College of Nursing,Denver
Idaho,University of Idaho,Moscow
Idaho,Boise State University,Boise
Idaho,Idaho State University,Pocatello 
Idaho,Brigham Young University-Idaho,Rexburg
Idaho,Northwest Nazarene University,Nampa
Idaho,Lewis-Clark State College,Lewiston 
Idaho,The College of Idaho,Caldwell
Idaho,Boise Bible College,Boise 
Florida,University of Florida,Gainesville
Florida,University of South Florida,Tampa 
Florida,Florida State University,Tallahassee 
Florida,University of Central Florida,Orlando 
Florida,University of Miami,Coral Gables 
Florida,Florida International University,Miami
Florida,Florida Atlantic University,Boca Raton 
Florida,Nova Southeastern University,Fort Lauderdale 
Florida,Embry-Riddle Aeronautical University,Daytona Beach 
Florida,University of North Florida,Jacksonville
Florida,Florida Institute of Technology,Melbourne
Florida,Stetson University,DeLand
Florida,Miami Dade College,Miami
Florida,Florida Gulf Coast University,Fort Myers
Florida,University of West Florida,Pensacola 
Florida,Rollins College,Winter Park
Florida,Florida Agricultural and Mechanical University,Tallahassee
Florida,Valencia College,Orlando
Florida,Broward College,Fort Lauderdale
Florida,Barry University,Miami 
Florida,The University of Tampa,Tampa
Florida,Saint Leo University,Saint Leo 
Florida,St Petersburg College,Clearwater
Florida,Jacksonville University,Jacksonville
Florida,Eckerd College,Saint Petersburg 
Florida,Florida Southern College,Lakeland
Florida,Santa Fe College,Gainesville
Florida,Keiser University,Fort Lauderdale
Florida,Flagler College,St. Augustine 
Florida,Lynn University,Boca Raton
Florida,Seminole State College of Florida,Sanford
Florida,Bethune-Cookman University,Daytona Beach
Georgia,Georgia Institute of Technology,Atlanta
Georgia,University of Georgia,Athens
